National_Basketball_Association,country_of_citizenshipLabel,US_OR_NOT,National_Basketball_AssociationLabel,work_period__start_,
http://www.wikidata.org/entity/Q259401,United States of America,1,Alex Groza,1949,1
http://www.wikidata.org/entity/Q547400,United States of America,1,Vern Mikkelsen,1949,1
http://www.wikidata.org/entity/Q1606773,United States of America,1,Dwight Eddleman,1949,1
http://www.wikidata.org/entity/Q1606834,United States of America,1,Leo Barnhorst,1949,1
http://www.wikidata.org/entity/Q1606859,United States of America,1,Paul Walther,1949,1
http://www.wikidata.org/entity/Q1610282,United States of America,1,George Kaftan,1949,1
http://www.wikidata.org/entity/Q1611310,United States of America,1,Tony Lavelli,1949,1
http://www.wikidata.org/entity/Q2337198,United States of America,1,Wallace Jones,1949,1
http://www.wikidata.org/entity/Q3718829,United States of America,1,Edward Bartels,1949,1
http://www.wikidata.org/entity/Q3759424,United States of America,1,Gene James,1949,1
http://www.wikidata.org/entity/Q3786698,United States of America,1,Hook Dillon,1949,1
http://www.wikidata.org/entity/Q593919,Canada,0,Ernie Vandeweghe,1949,1
http://www.wikidata.org/entity/Q3805634,United States of America,1,Jack Phelan,1949,1
http://www.wikidata.org/entity/Q3809519,United States of America,1,John Oldham,1949,1
http://www.wikidata.org/entity/Q2558776,United States of America,1,Ralph Beard,1949,1
http://www.wikidata.org/entity/Q2558817,United States of America,1,Cliff Barker,1949,1
http://www.wikidata.org/entity/Q2561603,United States of America,1,Vince Boryla,1949,1
http://www.wikidata.org/entity/Q2561603,Poland,0,Vince Boryla,1949,1
http://www.wikidata.org/entity/Q1647863,United States of America,1,Dermie O'Connell,1949,1
http://www.wikidata.org/entity/Q2328838,United States of America,1,Frank Saul,1949,1
http://www.wikidata.org/entity/Q2329453,United States of America,1,Bob Harrison,1949,1
http://www.wikidata.org/entity/Q2329828,United States of America,1,Jack Coleman,1949,1
http://www.wikidata.org/entity/Q2586316,United States of America,1,Ike Borsavage,1949,1
http://www.wikidata.org/entity/Q776019,United States of America,1,Fred Schaus,1949,1
http://www.wikidata.org/entity/Q930031,United States of America,1,Don Boven,1949,1
http://www.wikidata.org/entity/Q955247,United States of America,1,Vern Gardner,1949,1
http://www.wikidata.org/entity/Q970476,United States of America,1,Bud Grant,1949,1
http://www.wikidata.org/entity/Q972990,United States of America,1,Slater Martin,1949,1
http://www.wikidata.org/entity/Q2732041,United States of America,1,Dick McGuire,1949,1
http://www.wikidata.org/entity/Q3852019,United States of America,1,Matt Mazza,1949,1
http://www.wikidata.org/entity/Q3874522,United States of America,1,Nelson Bobb,1949,1
http://www.wikidata.org/entity/Q3913090,United States of America,1,Paul Gordon,1949,1
http://www.wikidata.org/entity/Q3335460,United States of America,1,Harry Donovan,1949,1
http://www.wikidata.org/entity/Q3457164,United States of America,1,Bob Royer,1949,1
http://www.wikidata.org/entity/Q3457178,United States of America,1,Duane Klueh,1949,1
http://www.wikidata.org/entity/Q3534528,United States of America,1,Warren Perkins,1949,1
